"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AKR1C1",3.7082895239379,94.0929520461142,1.66939003473442,0.100234677282222,0.142224941265279,-4.52857406363831
"DCAF6",5.82343549909011,119.561643023589,1.66914221501955,0.100283990528024,0.142288469444172,-4.52893697418352
"LOC730379",-1.49001510862483,87.653337966559,-1.66897980492063,0.100316319004423,0.14232789403145,-4.52917478334364
"LOC440243",1.29065525937408,84.4817914230816,1.66852715131439,0.100406466730241,0.142449344767064,-4.52983747159649
"LOC388514",2.00401586124778,91.9298066309636,1.66825736579233,0.100460227040602,0.142519163041165,-4.53023236241068
"GAGE12B",1.30946676102536,83.0545950697028,1.66818812931904,0.100474027622603,0.142532288189363,-4.53033369601326
"LOC100133729",-1.47866721147581,81.233927476391,-1.66805168731862,0.100501228501541,0.142564420927488,-4.53053337963544
"LOC648541",2.02575725663319,89.9481010588283,1.66801072093732,0.100509396674082,0.142569553435296,-4.53059333128201
"ALX3",1.43353833883759,87.9646396304321,1.66748195234184,0.100614875058222,0.14271271083583,-4.53136703054207
"ARF5",-3.71550487519939,107.918641919791,-1.66743960176775,0.100623327030593,0.14271823869168,-4.53142898872452
"MATN4",-1.50317856821908,84.9888230244062,-1.66706190326771,0.100698730584448,0.142818721954153,-4.53198149246504
"ELSPBP1",1.27576764732313,80.9462961448837,1.66698444603871,0.100714199811822,0.142834196474321,-4.53209478423887
"LOC644845",-1.61600784075846,92.3066023465925,-1.66692237668991,0.100726597278075,0.142845313379099,-4.53218556570545
"LOC653722",-1.94019891150502,90.6603307305507,-1.66677650751828,0.100755737469661,0.142876291893974,-4.53239889920477
"LOC283767",37.0163941216778,270.095049262091,1.66676737959022,0.100757561178947,0.142876291893974,-4.5324122482287
"ABI1",11.9169024229966,167.181760762029,1.66656988182247,0.100797026738469,0.142925786760032,-4.53270106019321
"PGD",5.34117760216576,104.924077102326,1.66642825929182,0.100825334640484,0.142959456791028,-4.5329081436622
"PRRX2",1.37030158275482,83.484933158906,1.66635671923481,0.100839636732674,0.14297326594487,-4.53301274500867
"KRT74",1.6378784176945,81.6684620416173,1.66611310166795,0.10088835251839,0.143035864341488,-4.53336891678211
"SPATA21",1.84140760149177,81.976795715629,1.66588320703245,0.100934341779052,0.143094591679703,-4.53370498232951
"CYTSB",12.579159224686,191.892674052573,1.66583497655652,0.100943992214528,0.143101798491155,-4.53377548149177
"GZMH",-1.35264850261732,82.6614508809942,-1.66557093258987,0.10099683812513,0.143170237324141,-4.53416140557994
"CBX4",2.39397747186088,98.364008012755,1.66543117698269,0.101024818034774,0.143203422225814,-4.53436564864819
"THOC6",1.34631762373346,82.6822308981644,1.66502043587245,0.101107087506986,0.14331355649796,-4.53496582850598
"C1RL",1.88772354024847,89.7758002534647,1.66495499573576,0.101120199903013,0.143319521113746,-4.5350614380713
"RASD1",91.9867143795918,540.308920322145,1.66495378069253,0.101120443377249,0.143319521113746,-4.53506321324569
"LOC100130516",-76.7152540944934,1662.8818241282,-1.66471889739307,0.101167519032546,0.143374095145411,-4.53540635503615
"SLC2A1",67.3483546202062,469.121620130003,1.66471599949812,0.10116809994463,0.143374095145411,-4.53541058830735
"ZNF574",1.87254189975512,86.096018151343,1.66450161836839,0.101211082344602,0.14342852219193,-4.53572373974131
"NMNAT2",-18.4082829244456,181.538855729529,-1.66414595820036,0.101282423407521,0.143523130203114,-4.53624318034212
"LOC649999",-2.0040004156276,96.359905563959,-1.66334388336688,0.101443460467257,0.143744828394204,-4.53741424009529
"NKAIN3",2.14262022309092,84.7117636237276,1.66321273292824,0.101469812147511,0.143775666719278,-4.53760567619873
"JMJD2A",-1.85353353665386,92.5663791341319,-1.6631632591192,0.101479754228979,0.143783252046613,-4.53767788799347
"LOC645513",1.74599298488014,89.6222047340665,1.66305590652498,0.101501330160829,0.143807319554143,-4.53783457278091
"YRDC",93.0249084495969,1631.72677323086,1.6630168022933,0.101509190335212,0.143811953246984,-4.53789164447538
"OCEL1",3.0175313405675,112.711446792854,1.66291527151149,0.101529600923186,0.143834366367986,-4.53803982057094
"STRA8",1.14382133068231,79.6798229835248,1.66285642866854,0.101541431549018,0.143844623000902,-4.53812569327539
"RENBP",-1.4654103760868,80.6103184661298,-1.66281723605648,0.101549312029308,0.143849283143143,-4.53818288775779
"LOC389370",-1.50221686774055,88.2829381464372,-1.66275165240806,0.10156250008652,0.143861460951631,-4.53827859242867
"CHRM1",-3.10439905304307,91.8073872695311,-1.66270021216442,0.101572845058886,0.143869610662468,-4.53835365557571
"MUC16",1.73578665947743,91.5313662564899,1.66260697158997,0.101591598545858,0.143889669070014,-4.53848970967062
"TMEM26",7.36426529397228,104.993272965128,1.66237983689163,0.101637293999969,0.143947883302976,-4.53882110955259
"HIST1H1C",-15.3784033722001,145.320048240056,-1.66217548255557,0.101678420785451,0.143999622006388,-4.53911923688149
"CPSF4",12.1254135213767,237.44718940354,1.66213838780812,0.101685887645907,0.144003688126947,-4.53917334991072
"CCDC52",-1.83343316820562,90.7318650096071,-1.66206507271162,0.101700646674056,0.144017660063199,-4.53928029720535
"LOC649186",-1.96862854125946,100.931828216344,-1.66204371693208,0.101704946124927,0.144017660063199,-4.53931144882589
"SHOC2",2.57627089371167,103.368376190671,1.66146544333278,0.101821423419053,0.144175810239477,-4.54015483751954
"GP2",-1.48912179011929,84.6911512203099,-1.66144355708736,0.101825833937564,0.144175810239477,-4.54018675251534
"HINT2",3.18085627710005,105.726529986509,1.66141051896017,0.101832492079764,0.144178722462939,-4.54023492870631
